source_id,task,precision,modality,horizon,source_n,native_mse,metric,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high,missing_reason
S15,reach-wall,bfloat16,visual,6,27,0.2090970272083341,additive_quadratic_cross,9.079086925943878e-05,8.448842955800553e-05,9.620526326323194e-05,27,0.043420449573861784,0.03905806051827756,0.04728990105504017,
S15,reach-wall,bfloat16,visual,6,27,0.2090970272083341,nonadditive_mse_remainder,-0.00010177473667748994,-0.00014667194410479021,-6.339633691752933e-05,27,-0.04867344985066983,-0.07061963568671614,-0.029778896898254588,
S16,reach-wall,float32,proprio,1,27,0.00023939389443905477,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,proprio,1,27,0.00023939389443905477,output_interaction_mse,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,proprio,1,27,0.00023939389443905477,additive_quadratic_cross,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,proprio,1,27,0.00023939389443905477,nonadditive_mse_remainder,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,proprio,2,27,0.0003249146160647168,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,proprio,3,27,0.0004253027042360361,factorial_from_arm_losses,4.3940245059612074e-07,3.400208025135582e-07,5.440049915952571e-07,27,0.10331522612474608,0.07482423746833633,0.1395516136248701,
S16,reach-wall,float32,proprio,3,27,0.0004253027042360361,output_interaction_mse,3.016514109144549e-10,2.8517872414031765e-10,3.1740990780316293e-10,27,7.09262856572488e-05,5.8837435284778544e-05,8.486346242123949e-05,
S16,reach-wall,float32,proprio,3,27,0.0004253027042360361,additive_quadratic_cross,3.509743628147019e-07,2.51639069730579e-07,4.5604123584637896e-07,27,0.082523426096044,0.056272833118800665,0.11549936431053587,
S16,reach-wall,float32,proprio,3,27,0.0004253027042360361,nonadditive_mse_remainder,8.842759379494804e-08,6.419186403034603e-08,1.128196315380447e-07,27,0.02079168387931814,0.013733560858460832,0.028210991285024835,
S16,reach-wall,float32,proprio,4,27,0.0005224397483143099,factorial_from_arm_losses,3.266400435003572e-07,2.756051863786668e-07,3.789479965964553e-07,27,0.06252205054349046,0.04793595807685541,0.08074520870839015,
S16,reach-wall,float32,proprio,5,27,0.0006237535513472171,factorial_from_arm_losses,4.1217615629939566e-07,3.321551256153833e-07,4.852022767060817e-07,27,0.06607996947017857,0.04734991327374599,0.08710321855575467,
S16,reach-wall,float32,proprio,6,27,0.0007344746812224102,factorial_from_arm_losses,3.2905315301944497e-07,2.5193186771770097e-07,3.9447909004574386e-07,27,0.044801156722215525,0.02996219504846614,0.06018583927160931,
S16,reach-wall,float32,proprio,6,27,0.0007344746812224102,output_interaction_mse,7.879634520529128e-11,6.786591168903682e-11,9.353397397073472e-11,27,1.072825887941405e-05,8.751081677651304e-06,1.3056736981752023e-05,
S16,reach-wall,float32,proprio,6,27,0.0007344746812224102,additive_quadratic_cross,2.506486741412806e-07,1.8713102296624636e-07,3.1014723932266656e-07,27,0.03412625112197438,0.02218582789500932,0.04769313615840611,
S16,reach-wall,float32,proprio,6,27,0.0007344746812224102,nonadditive_mse_remainder,7.840132148214566e-08,5.3560950807309256e-08,1.0214837979939366e-07,27,0.010674475715304407,0.006739387373305857,0.014472884008903345,
S16,reach-wall,float32,visual,1,27,0.12490850900656277,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,visual,1,27,0.12490850900656277,output_interaction_mse,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,visual,1,27,0.12490850900656277,additive_quadratic_cross,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,visual,1,27,0.12490850900656277,nonadditive_mse_remainder,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,visual,2,27,0.14207141438016183,factorial_from_arm_losses,0.0,0.0,0.0,27,0.0,0.0,0.0,
S16,reach-wall,float32,visual,3,27,0.15853108557424064,factorial_from_arm_losses,-5.862359647398125e-05,-6.4036967635254e-05,-5.306119892608848e-05,27,-0.03697924369951257,-0.04197408224832971,-0.03221663316821102,
S16,reach-wall,float32,visual,3,27,0.15853108557424064,output_interaction_mse,7.412404874231044e-08,6.849163374874115e-08,7.975326594095987e-08,27,4.675679124621771e-05,4.2054157449021195e-05,5.1455602607297444e-05,
S16,reach-wall,float32,visual,3,27,0.15853108557424064,additive_quadratic_cross,-6.510319097299651e-05,-7.013087520689614e-05,-6.039350232310917e-05,27,-0.04106651432883078,-0.045485866759783826,-0.03690722564784764,
S16,reach-wall,float32,visual,3,27,0.15853108557424064,nonadditive_mse_remainder,6.4795761047353604e-06,4.4628387923407715e-06,8.657227316208498e-06,27,0.004087259026369913,0.002918002260561695,0.00526316220983734,
S16,reach-wall,float32,visual,4,27,0.17420188103928977,factorial_from_arm_losses,-3.0068871507671962e-05,-3.392469385109778e-05,-2.6112725141879333e-05,27,-0.01726093388216065,-0.020552551955686237,-0.014299620678932253,
S16,reach-wall,float32,visual,5,27,0.19049417250272302,factorial_from_arm_losses,-9.407137555109648e-06,-1.3075080976178868e-05,-5.768791565467908e-06,27,-0.004938281014856335,-0.006997524978448243,-0.00296545532316877,
S16,reach-wall,float32,visual,6,27,0.2065858675419916,factorial_from_arm_losses,-5.308511080565893e-06,-8.407856487205322e-06,-2.1856199995876745e-06,27,-0.0025696390289073672,-0.004174344281526325,-0.0010388180921119968,
S16,reach-wall,float32,visual,6,27,0.2065858675419916,output_interaction_mse,2.865259061619594e-08,2.2521717474469807e-08,3.705611477043362e-08,27,1.3869579249109032e-05,1.0818389390058807e-05,1.7647962956817955e-05,
