task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,donor_h3_B2,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,visual,reference_spearman,100,100,0.7695783773101845,0.7632329469463207,0.775774317514847,
reach,fresh,donor_h3_B2,visual,reference_top10_overlap,100,100,4.33,4.07,4.590000000000001,
reach,fresh,donor_h3_B2,visual,winner_changed,100,100,0.72,0.63,0.8,
reach,fresh,donor_h3_B2,visual,selected_in_reference_minimum_set,100,100,0.28,0.19999999999999998,0.37,
reach,fresh,donor_h3_B2,visual,excess_reference_cost,100,100,0.09442229151725769,0.07241860032081604,0.11839943462610246,
reach,fresh,donor_h3_B2,visual,excess_reference_cost_percent,100,100,5.225693176354055,3.8349730055220674,6.813154160245781,
reach,fresh,donor_h3_B2,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B2,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,official,reference_spearman,100,100,0.7481291881965468,0.7419795729382594,0.7541856060923154,
reach,fresh,donor_h3_B3,official,reference_top10_overlap,100,100,4.05,3.8000000000000007,4.300000000000001,
reach,fresh,donor_h3_B3,official,winner_changed,100,100,0.74,0.65,0.8200000000000001,
reach,fresh,donor_h3_B3,official,selected_in_reference_minimum_set,100,100,0.26,0.18,0.35,
reach,fresh,donor_h3_B3,official,excess_reference_cost,100,100,0.1178723394870758,0.09282744804024695,0.1444510431587695,
reach,fresh,donor_h3_B3,official,excess_reference_cost_percent,100,100,6.52354483257201,4.9577564606382625,8.263016602870103,
reach,fresh,donor_h3_B3,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
