task,layer,horizon,head,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,0,4,15,temporal_distance_frames,32,32,0.10112306759393257,0.10044748556706659,0.10179373093916157
reach,0,4,15,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,4,15,visual_mass,32,32,0.9999999955762178,0.9999999932479113,0.9999999976716936
reach,0,5,0,spatial_distance_patches,32,32,8.09588284098343,8.087445321966142,8.103962026411113
reach,0,5,0,temporal_distance_frames,32,32,0.12379537068141681,0.1227889667470606,0.12483789729188038
reach,0,5,0,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,0,visual_mass,32,32,0.9999999946448952,0.9999999920837581,0.9999999972060323
reach,0,5,1,spatial_distance_patches,32,32,7.745853152880736,7.736018093359202,7.7558505634978685
reach,0,5,1,temporal_distance_frames,32,32,0.2442817191207814,0.24374103345125228,0.24484015134338577
reach,0,5,1,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,1,visual_mass,32,32,0.9999999955762178,0.9999999937135726,0.9999999974388629
reach,0,5,2,spatial_distance_patches,32,32,7.075024408819594,7.0667753262129755,7.083444499021381
reach,0,5,2,temporal_distance_frames,32,32,0.15204291353836324,0.1514106983494622,0.15269801321709095
reach,0,5,2,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,2,visual_mass,32,32,0.999999993480742,0.9999999911524355,0.9999999955762178
reach,0,5,3,spatial_distance_patches,32,32,7.937601861988084,7.926989394002884,7.948126016559953
reach,0,5,3,temporal_distance_frames,32,32,0.10483808570075051,0.10397799390774722,0.105641032022216
reach,0,5,3,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,3,visual_mass,32,32,0.999999993480742,0.9999999899882823,0.999999996740371
reach,0,5,4,spatial_distance_patches,32,32,8.23529863626932,8.227075389137783,8.24355531398947
reach,0,5,4,temporal_distance_frames,32,32,0.057325537940306454,0.05691482473181191,0.05771986850634796
reach,0,5,4,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,4,visual_mass,32,32,0.9999999965075403,0.9999999948777258,0.9999999979045242
reach,0,5,5,spatial_distance_patches,32,32,7.451061853160501,7.441456190371782,7.46054951037728
reach,0,5,5,temporal_distance_frames,32,32,0.13051955986668995,0.12961599169847124,0.13144812566180347
reach,0,5,5,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,5,visual_mass,32,32,0.9999999948777258,0.99999999278225,0.999999996740371
reach,0,5,6,spatial_distance_patches,32,32,7.916695152989703,7.908304464470937,7.925143198487869
reach,0,5,6,temporal_distance_frames,32,32,0.22465772595429104,0.22351575338281793,0.22586883682220388
reach,0,5,6,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,6,visual_mass,32,32,0.9999999955762178,0.9999999930150807,0.9999999979045242
reach,0,5,7,spatial_distance_patches,32,32,8.153484080917785,8.140481073718746,8.166809596266027
reach,0,5,7,temporal_distance_frames,32,32,0.24174655613441792,0.24109065031714652,0.24238225786953946
reach,0,5,7,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,7,visual_mass,32,32,0.9999999937135726,0.9999999909196049,0.9999999962747097
reach,0,5,8,spatial_distance_patches,32,32,7.274054934863788,7.268979654185106,7.279127635243491
reach,0,5,8,temporal_distance_frames,32,32,0.06157028503058265,0.06104701465692853,0.06205506097430696
reach,0,5,8,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,8,visual_mass,32,32,0.9999999944120646,0.9999999923165888,0.9999999962747097
reach,0,5,9,spatial_distance_patches,32,32,7.062658701439442,7.056427808372821,7.0691148475251735
reach,0,5,9,temporal_distance_frames,32,32,0.047303199436724036,0.046561665964843076,0.048073704551826794
reach,0,5,9,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,9,visual_mass,32,32,0.9999999944120646,0.9999999923165888,0.9999999965075403
reach,0,5,10,spatial_distance_patches,32,32,7.620926754210405,7.610511629661035,7.630962672258871
reach,0,5,10,temporal_distance_frames,32,32,0.09865703322528797,0.09791625813666477,0.09935733663195087
reach,0,5,10,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,10,visual_mass,32,32,0.9999999941792339,0.9999999916180968,0.9999999965075403
reach,0,5,11,spatial_distance_patches,32,32,7.587439234317131,7.579665997152488,7.595508356513275
reach,0,5,11,temporal_distance_frames,32,32,0.2060234633199328,0.2052396077322276,0.2067713732503779
reach,0,5,11,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,11,visual_mass,32,32,0.9999999930150807,0.999999990221113,0.9999999953433871
reach,0,5,12,spatial_distance_patches,32,32,7.862867791999494,7.855744650946357,7.870033694970175
reach,0,5,12,temporal_distance_frames,32,32,0.12210955978097693,0.12114305334246295,0.12307418284588124
reach,0,5,12,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,12,visual_mass,32,32,0.9999999923165888,0.9999999899882823,0.9999999946448952
reach,0,5,13,spatial_distance_patches,32,32,7.258953599483894,7.2534505133502325,7.264469771853528
reach,0,5,13,temporal_distance_frames,32,32,0.1919897030990499,0.1909790322746685,0.19294763293365844
reach,0,5,13,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,5,13,visual_mass,32,32,0.99999999278225,0.9999999904539436,0.9999999951105565
