task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,4,2,2,2,16,16,0,0.7935739355161786,0.4706190600991249,0.0,1.0
reach,0,4,2,3,2,16,16,0,7.118611633777618,0.0014259531744755805,0.0,1.0
reach,0,4,2,4,2,16,16,0,6.846454739570618,0.0005701737454728573,0.0,1.0
reach,0,4,2,5,2,16,16,0,6.441470909427634,0.0025358748287307087,0.0,0.9999999925494194
reach,0,4,2,6,2,16,16,0,2.3261353720148708,0.38882891668124375,0.0,0.9999999850988388
reach,0,4,2,7,2,16,16,0,7.83778852103493,0.04345518452827025,0.0,0.9999999925494194
reach,0,4,2,8,2,16,16,0,6.990424983132072,0.004467070368804562,0.0,0.9999999925494194
reach,0,4,2,9,2,16,16,0,7.394916543440274,0.0014215065245571504,0.0,1.0000000149011612
reach,0,4,2,10,2,16,16,0,6.130706461231507,0.001125165423613644,0.0,0.9999999850988388
reach,0,4,2,11,2,16,16,0,6.691513359546661,0.023644615430384874,0.0,1.0
reach,0,4,2,12,2,16,16,0,5.950808748236364,0.0011952461880277558,0.0,0.9999999925494194
reach,0,4,2,13,2,16,16,0,3.2912132091165573,0.40928583152060083,0.0,0.9999999925494194
reach,0,4,2,14,2,16,16,0,6.823979318141937,0.2247391641139984,0.0,1.0
reach,0,4,2,15,2,16,16,0,9.51173562937778,0.0010253581171125313,0.0,0.9999999925494194
reach,0,5,2,0,2,16,16,0,7.53223084706412,0.05605667540515476,0.0,0.9999999850988388
reach,0,5,2,1,2,16,16,0,4.19081987582758,0.41122866728327173,0.0,0.9999999925494194
reach,0,5,2,2,2,16,16,0,5.102681756019592,0.0010793257533805445,0.0,1.0
reach,0,5,2,3,2,16,16,0,7.147730701772352,0.050216772036379365,0.0,0.9999999925494194
reach,0,5,2,4,2,16,16,0,7.122995687678521,0.002054394977986515,0.0,1.0000000149011612
reach,0,5,2,5,2,16,16,0,7.366054589793492,0.01629808254575791,0.0,0.9999999925494194
reach,0,5,2,6,2,16,16,0,7.175145977550343,0.0045253192993836054,0.0,0.9999999925494194
reach,0,5,2,7,2,16,16,0,7.390336151349069,0.002135448581151281,0.0,0.9999999925494194
reach,0,5,2,8,2,16,16,0,4.944256961345673,0.03302732668817043,0.0,1.0
reach,0,5,2,9,2,16,16,0,5.432109475135803,0.1680321916937828,0.0,1.0
reach,0,5,2,10,2,16,16,0,5.154024345367784,0.003576596738094885,0.0,1.0000000149011612
reach,0,5,2,11,2,16,16,0,7.183544206374052,0.0033134717871579795,0.0,0.9999999850988388
reach,0,5,2,12,2,16,16,0,7.194618934352837,0.0007783644599625055,0.0,0.9999999925494194
