task,episode,bank,site,comparison,spearman,elite_overlap,winner_agreement,winner_mismatch,left_winner,right_winner,left_minimum_ties,right_minimum_ties,minimum_sets_disjoint,left_cutoff_ties,right_cutoff_ties,left_cutoff_ambiguous,right_cutoff_ambiguous
reach,4,fresh,B5,persistent_vs_counterfactual,0.78559534785840635,5,1,0,289,289,1,1,0,1,1,False,False
reach,4,fresh,B5,persistent_vs_h3,0.99999111101039406,10,1,0,289,289,1,1,0,1,1,False,False
reach,5,original,reference,native_vs_counterfactual,0.78016911299014435,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,all_blocks,h3_vs_counterfactual,0.89988199868887431,6,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,3,3,1,1,0,1,1,False,False
reach,5,original,all_blocks,persistent_vs_h3,0.89988199868887431,6,0,1,3,252,1,1,1,1,1,False,False
reach,5,original,B0,h3_vs_counterfactual,0.7949443882709808,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B0,persistent_vs_counterfactual,0.80681740908232313,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B0,persistent_vs_h3,0.99763686263180706,9,1,0,252,252,1,1,0,1,1,False,False
reach,5,original,B1,h3_vs_counterfactual,0.83375104167824088,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B1,persistent_vs_counterfactual,0.93971488572095241,6,1,0,3,3,1,1,0,1,1,False,False
reach,5,original,B1,persistent_vs_h3,0.95122879143101591,8,0,1,3,252,1,1,1,1,1,False,False
reach,5,original,B2,h3_vs_counterfactual,0.80436849298325541,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B2,persistent_vs_counterfactual,0.82179890887676532,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B2,persistent_vs_h3,0.99885376504183376,10,1,0,252,252,1,1,0,1,1,False,False
reach,5,original,B3,h3_vs_counterfactual,0.77864909610106781,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B3,persistent_vs_counterfactual,0.78610517894643273,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B3,persistent_vs_h3,0.99963510705674508,10,1,0,252,252,1,1,0,1,1,False,False
reach,5,original,B4,h3_vs_counterfactual,0.82881987577639749,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B4,persistent_vs_counterfactual,0.83086256513961265,5,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B4,persistent_vs_h3,0.99989955443949374,10,1,0,252,252,1,1,0,1,1,False,False
reach,5,original,B5,h3_vs_counterfactual,0.78284025378059752,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B5,persistent_vs_counterfactual,0.78263402926699188,4,0,1,252,3,1,1,1,1,1,False,False
reach,5,original,B5,persistent_vs_h3,0.99998577761975138,10,1,0,252,252,1,1,0,1,1,False,False
