task,condition,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,both_positive_count,both_zero_count,linear_zero_count,cubic_zero_count
reach-wall,float32_field_bfloat16_roundtrip,3,log_ratio,32,32,0.0022161323653251408,-0.0014022003878207262,0.0057143248766768637,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,3,donor_response_rms_mean,32,32,0.024057736096150219,0.023788899791772705,0.024327199638705974,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,3,exact_unchanged_fraction_mean,32,32,0.58631858825683603,0.58506095886230469,0.58749916458129881,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,4,linear_center_mse,32,32,0.00051538339970588678,0.00050133670058762243,0.00053040526700304236,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,4,cubic_center_mse,32,32,0.00051811855713024399,0.00050465172901799815,0.00053248188947687411,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,4,log_ratio,32,32,0.0055932154370454956,0.00048635002671578028,0.010681975932144292,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,4,donor_response_rms_mean,32,32,0.043341687709992867,0.04280063976542408,0.043876124793587636,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,4,exact_unchanged_fraction_mean,32,32,0.55052703857421881,0.54736214256286631,0.55365060806274413,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,5,linear_center_mse,32,32,0.0035780011551212534,0.003512047621547026,0.0036463312709894983,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,5,cubic_center_mse,32,32,0.0035610947881583237,0.0034892929761761006,0.0036341204319655269,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,5,log_ratio,32,32,-0.0050088566921847877,-0.0099762121608809456,-0.00034179954287997068,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,5,donor_response_rms_mean,32,32,0.1096899854564222,0.10807413128059987,0.11129065019788612,32,0,0,0
reach-wall,float32_field_bfloat16_roundtrip,5,exact_unchanged_fraction_mean,32,32,0.52798187255859375,0.52396899223327631,0.532102216720581,32,0,0,0
reach-wall,bfloat16,0,linear_center_mse,32,32,6.8712199354855339e-05,6.6941740648714378e-05,7.0505716193197917e-05,32,0,0,0
reach-wall,bfloat16,0,cubic_center_mse,32,32,8.7248095125790439e-05,8.4665403124406906e-05,8.993985734637485e-05,32,0,0,0
reach-wall,bfloat16,0,log_ratio,32,32,0.23776849283459955,0.22296092341255425,0.25363887381171218,32,0,0,0
reach-wall,bfloat16,0,donor_response_rms_mean,32,32,0.011297226905660195,0.011209915007738899,0.011385876789994953,32,0,0,0
reach-wall,bfloat16,0,exact_unchanged_fraction_mean,32,32,0.092945098876953125,0.092580791473388671,0.093294382095336914,32,0,0,0
reach-wall,bfloat16,1,linear_center_mse,32,32,0.00011938880982309994,0.00011760299799237538,0.00012118499395523257,32,0,0,0
reach-wall,bfloat16,1,cubic_center_mse,32,32,0.00014060327524514883,0.00013849973826402252,0.00014282263076763444,32,0,0,0
reach-wall,bfloat16,1,log_ratio,32,32,0.16349540818852609,0.1544561664892514,0.17283537527216467,32,0,0,0
reach-wall,bfloat16,1,donor_response_rms_mean,32,32,0.01510289369418583,0.015032935861128525,0.015172398805059431,32,0,0,0
reach-wall,bfloat16,1,exact_unchanged_fraction_mean,32,32,0.028393936157226563,0.028267822265624999,0.028517990112304686,32,0,0,0
reach-wall,bfloat16,2,linear_center_mse,32,32,0.00021386450622724472,0.00021102902094342535,0.00021661183025353258,32,0,0,0
reach-wall,bfloat16,2,cubic_center_mse,32,32,0.00028195908721694019,0.00027864345736354224,0.00028535778333954153,32,0,0,0
reach-wall,bfloat16,2,log_ratio,32,32,0.27654274751625801,0.26864753526562019,0.28413598763185255,32,0,0,0
reach-wall,bfloat16,2,donor_response_rms_mean,32,32,0.021077579829324476,0.02098934697881329,0.021164245732897685,32,0,0,0
reach-wall,bfloat16,2,exact_unchanged_fraction_mean,32,32,0.015047607421875001,0.014953460693359375,0.015136110305786134,32,0,0,0
reach-wall,bfloat16,3,linear_center_mse,32,32,0.00044435061006639512,0.00044057167526798157,0.00044848293612172684,32,0,0,0
reach-wall,bfloat16,3,cubic_center_mse,32,32,0.00058069026039169434,0.00057642140601219872,0.00058505611833037884,32,0,0,0
reach-wall,bfloat16,3,log_ratio,32,32,0.26769798772870979,0.25980529749702047,0.27556573176047311,32,0,0,0
