source_id,task,precision,lineage_group,arm,omitted_activation_mse,endpoint_line_valid,common_energy_edit_eligible,recorded_proprio_mse_h1,recorded_proprio_mse_h2,recorded_proprio_mse_h3,recorded_proprio_mse_h4,recorded_proprio_mse_h5,recorded_proprio_mse_h6,raw_native_proprio_fidelity_mse_h3,delivered_native_proprio_fidelity_mse_h3,raw_native_proprio_fidelity_mse_h6,delivered_native_proprio_fidelity_mse_h6,recorded_visual_mse_h1,recorded_visual_mse_h2,recorded_visual_mse_h3,recorded_visual_mse_h4,recorded_visual_mse_h5,recorded_visual_mse_h6,raw_native_visual_fidelity_mse_h3,delivered_native_visual_fidelity_mse_h3,raw_native_visual_fidelity_mse_h6,delivered_native_visual_fidelity_mse_h6
S18,reach-wall,float32,metaworld:state-action:992a03bca86abd79dec2cb33e119f8c6223914cfd427e3ff0a13fe03bd43aad4,cubic,2.6639828696583175e-11,1.0,1.0,0.00019738166853737008,0.00025371007905050647,0.00036017177214186326,0.0004639196406060364,0.0005700063971744385,0.0006974582097124464,1.9073198856279085e-14,6.359409330527877e-14,1.9696543375884833e-14,2.642398044553555e-14,0.11029091731955608,0.1213505789016684,0.13456935261686642,0.1445695821195841,0.1563027078906695,0.16731038292249042,8.231450591493552e-13,4.395226646828828e-12,9.606777102518586e-13,1.5516684300651586e-12
S18,reach-wall,float32,metaworld:state-action:992a03bca86abd79dec2cb33e119f8c6223914cfd427e3ff0a13fe03bd43aad4,projected_cubic,9.434237095244196e-10,1.0,1.0,0.00019738166853737008,0.00025371007905050647,0.00036016874000779355,0.00046391798168770037,0.0005700052354465394,0.0006974574457368969,2.8681078316274345e-13,1.3642320853403578e-13,7.672167389964392e-14,4.501582542802153e-14,0.11029091731955608,0.1213505789016684,0.13456942314902942,0.14456965494900942,0.15630277022719383,0.16731042663256326,1.6468932417165274e-11,7.455924636370903e-12,4.256970320591751e-12,2.476209068882097e-12
S18,reach-wall,float32,metaworld:state-action:992a03bca86abd79dec2cb33e119f8c6223914cfd427e3ff0a13fe03bd43aad4,reflected_curvature,3.75724775551293e-09,1.0,1.0,0.00019738166853737008,0.00025371007905050647,0.0003601686999900267,0.0004639179261478906,0.0005700053295489246,0.0006974573703094696,1.0583196351792526e-12,1.3756253227906566e-13,2.371680328346898e-13,4.463920507469128e-14,0.11029091731955608,0.1213505789016684,0.13456942414244016,0.14456965699791907,0.15630277500798304,0.1673104298611482,6.31097142426984e-11,7.471108399905585e-12,1.3866942790077598e-11,2.446973710896333e-12
S18,reach-wall,float32,metaworld:state-action:9bf7aa746aec1f7153303f5c019b2f21e4b31a5fa78b6a043368f351daa57618,equal_anchor_linear,6.357295636675679e-10,1.0,1.0,0.0002235668458524742,0.0003367043340404052,0.0005024309785464236,0.0006862210436035335,0.0009054961609460103,0.0011045881741059322,1.5976888820542928e-13,1.285949997745575e-13,5.984431355729965e-14,5.065824415247321e-14,0.12886044159531593,0.15609926010171574,0.18452939887841543,0.21590349959830443,0.25226783081889154,0.2848001462717851,1.3507363948404387e-11,7.682133629314386e-12,5.6200822045205514e-12,4.316233024566236e-12
S18,reach-wall,float32,metaworld:state-action:9bf7aa746aec1f7153303f5c019b2f21e4b31a5fa78b6a043368f351daa57618,cubic,2.710376412600838e-11,1.0,1.0,0.0002235668458524742,0.0003367043340404052,0.0005024308126545899,0.0006862209412550631,0.0009054953904220989,0.0011045872553950176,1.5734798545646414e-14,5.3779622198869434e-14,1.6937896756527796e-14,2.5353726350475267e-14,0.12886044159531593,0.15609926010171574,0.18452931729455788,0.21590342856943606,0.25226779555281004,0.2848002346853415,7.907959086642854e-13,4.1449690197075535e-12,9.93188724893266e-13,1.8128284328322238e-12
S18,reach-wall,float32,metaworld:state-action:9bf7aa746aec1f7153303f5c019b2f21e4b31a5fa78b6a043368f351daa57618,projected_cubic,1.5503334722481259e-09,1.0,1.0,0.0002235668458524742,0.0003367043340404052,0.0005024305712746961,0.0006862206559162587,0.0009054954503274833,0.0011045874077050637,3.8547874541363694e-13,1.356775355585392e-13,1.2199903746491372e-13,5.0022691615225785e-14,0.12886044159531593,0.15609926010171574,0.1845293428748846,0.21590346383551756,0.2522677900890509,0.28480012180904546,2.8317500760354403e-11,7.200744413353906e-12,9.874027062563989e-12,3.7653286539777776e-12
S18,reach-wall,float32,metaworld:state-action:9bf7aa746aec1f7153303f5c019b2f21e4b31a5fa78b6a043368f351daa57618,reflected_curvature,6.178443850979321e-09,1.0,1.0,0.0002235668458524742,0.0003367043340404052,0.0005024305986201701,0.0006862206810183125,0.0009054956516289773,0.0011045874120706382,1.467234927304828e-12,1.3688344956104714e-13,4.200602167569545e-13,4.999993680919301e-14,0.12886044159531593,0.15609926010171574,0.18452934008091687,0.21590346544981004,0.2522677969187498,0.28480012752115724,1.1037609573434174e-10,7.221849431405386e-12,3.619031424005025e-11,3.646579455858385e-12
S18,reach-wall,float32,metaworld:state-action:9d6114f4bda7d8f398acc19b963bf393e7ef716d9732095e09a387d9960b8585,equal_anchor_linear,4.615734081984494e-10,1.0,1.0,0.000248891236090761,0.0002728691256682699,0.00031079868191833765,0.0003772402929219728,0.00046465154555335174,0.000545035651884973,2.1412994866058263e-13,1.9214176893967393e-13,6.138092836536027e-14,5.703514437313698e-14,0.12542174669603506,0.14015914040307204,0.15411041714251042,0.16634705724815527,0.1784330677241087,0.19330669653912386,8.748720508894996e-12,7.591581985440243e-12,3.5582059605962387e-12,3.263228869882703e-12
S18,reach-wall,float32,metaworld:state-action:9d6114f4bda7d8f398acc19b963bf393e7ef716d9732095e09a387d9960b8585,cubic,2.8727314320756147e-11,1.0,1.0,0.000248891236090761,0.0002728691256682699,0.0003108010221088383,0.00037724119792983404,0.00046465134801110253,0.0005450352314558889,2.6160451413813636e-14,9.642756851926645e-14,2.703792037244515e-14,3.852138015827832e-14,0.12542174669603506,0.14015914040307204,0.1541104894131422,0.1663470860570669,0.17843308833738167,0.1933066966633002,8.530291919696109e-13,4.700642844441873e-12,1.027463394945623e-12,1.8138686724136187e-12
S18,reach-wall,float32,metaworld:state-action:9d6114f4bda7d8f398acc19b963bf393e7ef716d9732095e09a387d9960b8585,projected_cubic,1.1274668994717038e-09,1.0,1.0,0.000248891236090761,0.0002728691256682699,0.0003107976077444619,0.0003772398091920574,0.0004646508988419858,0.0005450350893321835,5.760538869374089e-13,2.24487723061214e-13,1.1366983822211554e-13,5.90239034485006e-14,0.12542174669603506,0.14015914040307204,0.1541103875885407,0.16634703266123932,0.17843304288884004,0.19330665779610476,1.8963979496987303e-11,7.199760055359485e-12,6.4244931405303915e-12,2.996424224195604e-12
