task,precision,arm,endpoint,horizon,n,native_mean,learned_mean,random_mean,reduction_vs_native_percent,advantage_vs_random_percent,source_sha256
reach,bfloat16,single_block5,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,1,33,0.12173197127483558,0.12173197127483558,0.12173197127483558,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,2,33,0.13744648757644676,0.13744648757644676,0.13744648757644676,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,3,33,0.15170718095444066,0.15129456508791808,0.15170703635297036,0.27198176376798805,0.27188644760075853,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,3,33,0.15170718095444066,0.15133181707086887,0.15170230077523175,0.24742657612530197,0.24420973485371053,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,3,33,0.15170718095444066,0.1514271387115422,0.15170162887020847,0.18459392702218838,0.18093418975908288,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,3,33,0.15170718095444066,0.15156997485707205,0.15171296582604296,0.09044139934932843,0.09425458180114413,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,3,33,0.15170718095444066,0.15166956589115088,0.15170671463464247,0.024794517341322916,0.024487135848068164,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,visual_mse,3,33,0.15170718095444066,0.15169600075430642,0.15170918232714284,0.007369591909825002,0.008688825903618075,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,3,33,0.15170718095444066,0.15143697761714156,0.15169694539761602,0.17810846895918986,0.1713615524584389,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,3,33,0.15170718095444066,0.15150900566668224,0.15168778838382826,0.1306301300384306,0.11784723440330479,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,4,33,0.16623134848972165,0.16572984755039216,0.16622445706767267,0.3016885466464827,0.29754286527434726,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,4,33,0.16623134848972165,0.16576803169316717,0.16622267965829432,0.2787180641701454,0.27350314441758794,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,4,33,0.16623134848972165,0.1658588441577975,0.16621193084301367,0.2240878963616078,0.2124067983711243,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,4,33,0.16623134848972165,0.165984010773551,0.16622673466688756,0.1487912589399213,0.14601571577311703,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,4,33,0.16623134848972165,0.1661063038358333,0.16622411153382724,0.07522326867009844,0.07086972407086153,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,visual_mse,4,33,0.16623134848972165,0.1661850579722662,0.1662313355528044,0.027847044420930153,0.027839261943450894,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,4,33,0.16623134848972165,0.16583415604563376,0.166209754825692,0.2389395548412188,0.22594942739183088,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,4,33,0.16623134848972165,0.16592425101935263,0.16620795407116112,0.1847410089367205,0.17066759933433373,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,5,33,0.18170994661485007,0.18088105653572562,0.18162366289532544,0.45616109330622384,0.40867678045927075,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,5,33,0.18170994661485007,0.18092198071794377,0.18162634938654276,0.43363938605763974,0.38763352349222946,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,5,33,0.18170994661485007,0.18106788061559204,0.18166260639149134,0.3533466445945026,0.3272940127817439,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,5,33,0.18170994661485007,0.18122885358341112,0.18163315870545127,0.26475877650146956,0.22250027011295595,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,5,33,0.18170994661485007,0.18141370046733304,0.18167952566285325,0.1630324333014888,0.14629094360125916,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,visual_mse,5,33,0.18170994661485007,0.18160046187577522,0.18170096792769855,0.06025247440466881,0.05531125499494984,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,5,33,0.18170994661485007,0.1809709508799844,0.18159247544791662,0.40668975399130236,0.3420421278586298,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,5,33,0.18170994661485007,0.181113893819051,0.18160658929534634,0.3280243084669792,0.2711439222089819,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,visual_mse,6,33,0.1980835786202189,0.19710088736857428,0.19791731440810242,0.49609930237008354,0.41216290881610945,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,visual_mse,6,33,0.1980835786202189,0.19714335758389548,0.19792561776973683,0.4746587490354624,0.3949142030300042,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,visual_mse,6,33,0.1980835786202189,0.19733109652356368,0.19797992547503626,0.37988110972991207,0.32755312479313103,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,visual_mse,6,33,0.1980835786202189,0.1974866894892219,0.1979545446940594,0.30133196055660033,0.23619080798944236,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,visual_mse,6,33,0.1980835786202189,0.19771339482242112,0.1980064208534631,0.18688262822003704,0.1479305013990021,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,visual_mse,6,33,0.1980835786202189,0.19791823984547094,0.19800528690896252,0.08346919815344592,0.043944613732203014,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,visual_mse,6,33,0.1980835786202189,0.19719599705716276,0.19790581673421342,0.44808437389848843,0.3583435244834641,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,visual_mse,6,33,0.1980835786202189,0.19735524382141204,0.19793570565266744,0.3676906505224599,0.2930388451676291,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,float32,single_block0,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block1,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block2,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block3,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block4,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block5,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,intermediate_blocks2_3,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,all_six_blocks,proprio_mse,1,33,0.00021134850025503906,0.00021134850025503906,0.00021134850025503906,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block0,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block1,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block2,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block3,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block4,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block5,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,intermediate_blocks2_3,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,all_six_blocks,proprio_mse,2,33,0.00028461674274428395,0.00028461674274428395,0.00028461674274428395,0.0,0.0,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
