source_id,task,precision,lineage_group,modality,horizon,native_mse,visual_only_mse,action_condition_only_mse,joint_mse,joint_equal_standardized_energy_mse,matched_random_equal_standardized_energy_mse,factorial_from_arm_losses,output_interaction_mse,additive_quadratic_cross,factorial_mse_interaction,nonadditive_mse_remainder
S02,reach,float32,metaworld:state-action:4314f16e9f2e4b8ac40d0546b2c253087fd0ebfde3b54469c2b9d8c1a415330a,visual,2,0.13620543045302233,0.13620543045302233,0.13620543045302233,0.13620543045302233,0.13620543045302233,0.13620543045302233,0.0,,,,
S02,reach,float32,metaworld:state-action:46c833b37dac81c4c1b42c4f4e965649bee001e5f9e372653d4716f0151683f7,visual,2,0.11963421509911616,0.11963421509911616,0.11963421509911616,0.11963421509911616,0.11963421509911616,0.11963421509911616,0.0,,,,
S02,reach,float32,metaworld:state-action:472a17d50dbe37b1acd5b2ac713d744c4ab3a3d825c6d69e798d55db3de5ed4f,visual,2,0.1799032955120007,0.1799032955120007,0.1799032955120007,0.1799032955120007,0.1799032955120007,0.1799032955120007,0.0,,,,
S02,reach,float32,metaworld:state-action:4a976af7854ebbb206bd770ebd5572c7eed74b9106e08d1191de6105b35a2764,visual,2,0.14619456126044195,0.14619456126044195,0.14619456126044195,0.14619456126044195,0.14619456126044195,0.14619456126044195,0.0,,,,
S02,reach,float32,metaworld:state-action:4dda3594296b3449b362c8b3403f3d7f5639e69294aeef03114a373be0cbeaf8,visual,2,0.10638281969974438,0.10638281969974438,0.10638281969974438,0.10638281969974438,0.10638281969974438,0.10638281969974438,0.0,,,,
S02,reach,float32,metaworld:state-action:523f56ece5e404d49865d0e6637f371de3a753f1ba023110771b44bc7f02b62a,visual,2,0.14040773392965397,0.14040773392965397,0.14040773392965397,0.14040773392965397,0.14040773392965397,0.14040773392965397,0.0,,,,
S02,reach,float32,metaworld:state-action:5bac96e458878008c53b681c2ab7784e2c543bbaa7f79fba3ee87ae9781c6ef7,visual,2,0.12185839836796125,0.12185839836796125,0.12185839836796125,0.12185839836796125,0.12185839836796125,0.12185839836796125,0.0,,,,
S02,reach,float32,metaworld:state-action:686e6a168e6145a5ef49a9f21e998cb683cba489718d0d97328ae33a7f78f6fa,visual,2,0.1277823720748226,0.1277823720748226,0.1277823720748226,0.1277823720748226,0.1277823720748226,0.1277823720748226,0.0,,,,
S02,reach,float32,metaworld:state-action:6b017f7a4198ecfcb46072f81b74c496de26d5c7a9385bb1cdecaa8df9656703,visual,2,0.12432239179809888,0.12432239179809888,0.12432239179809888,0.12432239179809888,0.12432239179809888,0.12432239179809888,0.0,,,,
S02,reach,float32,metaworld:state-action:6e279f2ab342c4972de8619e460da08fe06a2cb37d7b3f47ca9f4aef5cdc73be,visual,2,0.1390920991078019,0.1390920991078019,0.1390920991078019,0.1390920991078019,0.1390920991078019,0.1390920991078019,0.0,,,,
