task,arm,iteration,metric,n,mean,marginal_95_low,marginal_95_high
reach,matched_random_fixed_rank4,7,proposal_std_delta_rms,4,0.03179406259259479,0.0,0.09538211623184087
reach,matched_random_fixed_rank4,7,best_runnerup_margin_delta,4,0.0030169636011123657,-0.0001376420259475708,0.008948266506195068
reach,matched_random_fixed_rank4,7,elite_boundary_margin_delta,4,-0.0001748204231262207,-0.0005465447902679443,0.00013116002082824707
reach,matched_random_fixed_rank4,8,proposal_entropy_delta_nats,4,1.432957058768583,-1.9405953111117924e-07,4.29887137036528
reach,matched_random_fixed_rank4,8,proposal_mean_delta_l2,4,0.9382017758884187,0.0,2.8146041405131292
reach,matched_random_fixed_rank4,8,proposal_mean_delta_rms,4,0.08564571269091555,0.0,0.2569370297010801
reach,matched_random_fixed_rank4,8,proposal_std_delta_l2,4,0.7029455315839062,0.0,2.1088357868166363
reach,matched_random_fixed_rank4,8,proposal_std_delta_rms,4,0.06416985405766093,0.0,0.1925094884189379
reach,matched_random_fixed_rank4,8,best_runnerup_margin_delta,4,-0.002518951892852783,-0.007355973124504089,-5.379319190979004e-06
reach,matched_random_fixed_rank4,8,elite_boundary_margin_delta,4,-6.109476089477539e-05,-0.00025275349617004395,9.292364120483398e-05
reach,matched_random_fixed_rank4,9,proposal_entropy_delta_nats,4,0.524199584040673,-7.105427357601002e-15,1.5725986670452627
reach,matched_random_fixed_rank4,9,proposal_mean_delta_l2,4,1.2005057250727411,0.0,3.60151583145045
reach,matched_random_fixed_rank4,9,proposal_mean_delta_rms,4,0.10959067767273929,0.0,0.3287719103495642
reach,matched_random_fixed_rank4,9,proposal_std_delta_l2,4,0.8136413954287767,0.0,2.4409233620137623
reach,matched_random_fixed_rank4,9,proposal_std_delta_rms,4,0.07427495766605365,0.0,0.22282479775271444
reach,matched_random_fixed_rank4,9,best_runnerup_margin_delta,4,0.0036928951740264893,-0.00010617077350616455,0.011139407753944397
reach,matched_random_fixed_rank4,9,elite_boundary_margin_delta,4,-0.00024583935737609863,-0.0008836984634399414,9.575486183166504e-05
reach,matched_random_fixed_rank4,10,proposal_entropy_delta_nats,4,1.827553967875648,0.0,5.4826606944569
reach,matched_random_fixed_rank4,10,proposal_mean_delta_l2,4,1.6359147722118634,0.0,4.907742724126528
reach,matched_random_fixed_rank4,10,proposal_mean_delta_rms,4,0.14933790381606052,0.0,0.44801356607265885
reach,matched_random_fixed_rank4,10,proposal_std_delta_l2,4,0.9041869427546775,0.0,2.7125599191634344
reach,matched_random_fixed_rank4,10,proposal_std_delta_rms,4,0.08254059745806154,0.0,0.24762170938503386
reach,matched_random_fixed_rank4,10,best_runnerup_margin_delta,4,0.000986635684967041,-7.824599742889404e-05,0.0029974430799484253
reach,matched_random_fixed_rank4,10,elite_boundary_margin_delta,4,0.0001377314329147339,-4.063546657562256e-05,0.00035756826400756836
reach,matched_random_fixed_rank4,11,proposal_entropy_delta_nats,4,0.38894339595922567,0.0,1.1668290044282852
reach,matched_random_fixed_rank4,11,proposal_mean_delta_l2,4,1.8320623848628852,0.0,5.496185772424372
reach,matched_random_fixed_rank4,11,proposal_mean_delta_rms,4,0.16724364915768555,0.0,0.5017308212992972
reach,matched_random_fixed_rank4,11,proposal_std_delta_l2,4,0.8894577219944322,0.0,2.66837231068228
reach,matched_random_fixed_rank4,11,proposal_std_delta_rms,4,0.08119600971391824,0.0,0.24358795106381137
reach,matched_random_fixed_rank4,11,best_runnerup_margin_delta,4,-0.0006593614816665649,-0.002325713634490967,0.00023196637630462646
reach,matched_random_fixed_rank4,11,elite_boundary_margin_delta,4,-0.0003307610750198364,-0.0010983198881149292,0.00020334124565124512
reach,matched_random_fixed_rank4,12,proposal_entropy_delta_nats,4,2.346645587542106,2.655951369945342e-07,7.0399355018342895
reach,matched_random_fixed_rank4,12,proposal_mean_delta_l2,4,1.7610344960442348,6.001900839940181e-07,5.283100781759797
reach,matched_random_fixed_rank4,12,proposal_mean_delta_rms,4,0.16075971967136163,5.478960796574068e-08,0.48227891195716976
reach,matched_random_fixed_rank4,12,proposal_std_delta_l2,4,1.0309681189035946,2.6100304768643837e-07,3.092902974313366
reach,matched_random_fixed_rank4,12,proposal_std_delta_rms,4,0.0941140824653612,2.382620946590981e-08,0.282342121201042
reach,matched_random_fixed_rank4,12,best_runnerup_margin_delta,4,-0.00014703720808029175,-0.0003610849380493164,6.701052188873291e-05
reach,matched_random_fixed_rank4,12,elite_boundary_margin_delta,4,0.0001613125205039978,-1.341104507446289e-05,0.0003360360860824585
reach,matched_random_fixed_rank4,13,proposal_entropy_delta_nats,4,2.4943560198436208,-0.39138369749573165,7.883068836152357
reach,matched_random_fixed_rank4,13,proposal_mean_delta_l2,4,2.449204584293116,0.2864590391922408,5.943358280409423
reach,matched_random_fixed_rank4,13,proposal_mean_delta_rms,4,0.22358076646040048,0.026150012927807796,0.5425518995858926
reach,matched_random_fixed_rank4,13,proposal_std_delta_l2,4,1.233671680533682,0.22279161927988841,2.675982170327439
reach,matched_random_fixed_rank4,13,proposal_std_delta_rms,4,0.11261830133060077,0.02033799925044963,0.24428263302832834
reach,matched_random_fixed_rank4,13,best_runnerup_margin_delta,4,-0.0010720118880271912,-0.0019442886114120483,-0.0001877322793006897
reach,matched_random_fixed_rank4,13,elite_boundary_margin_delta,4,-0.000456295907497406,-0.0009457692503929138,-8.237361907958984e-05
reach,matched_random_fixed_rank4,14,proposal_entropy_delta_nats,4,2.893581441350311,-1.0675203405968805,9.580583491778203
reach,matched_random_fixed_rank4,14,proposal_mean_delta_l2,4,2.9282050965758923,0.5588484659906071,6.466119050354964
reach,matched_random_fixed_rank4,14,proposal_mean_delta_rms,4,0.26730733073270163,0.05101565184170236,0.5902732105655496
reach,matched_random_fixed_rank4,14,proposal_std_delta_l2,4,1.3940510291022756,0.30005746925162935,2.8225847725512283
reach,matched_random_fixed_rank4,14,proposal_std_delta_rms,4,0.12725886582543453,0.027391374076171694,0.25766555839948274
reach,matched_random_fixed_rank4,14,best_runnerup_margin_delta,4,-0.0011892467737197876,-0.001855418086051941,-0.0002741888165473938
reach,matched_random_fixed_rank4,14,elite_boundary_margin_delta,4,0.0002097785472869873,-3.8743019104003906e-05,0.0006142258644104004
reach-wall,fixed_rank4,0,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach-wall,fixed_rank4,0,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach-wall,fixed_rank4,0,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach-wall,fixed_rank4,0,proposal_std_delta_l2,4,0.0,0.0,0.0
reach-wall,fixed_rank4,0,proposal_std_delta_rms,4,0.0,0.0,0.0
reach-wall,fixed_rank4,0,best_runnerup_margin_delta,4,-0.0001952648162841797,-0.0010616779327392578,0.0005403757095336914
reach-wall,fixed_rank4,0,elite_boundary_margin_delta,4,0.00014126300811767578,-1.049041748046875e-05,0.0002931356430053711
reach-wall,fixed_rank4,1,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach-wall,fixed_rank4,1,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach-wall,fixed_rank4,1,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach-wall,fixed_rank4,1,proposal_std_delta_l2,4,0.0,0.0,0.0
reach-wall,fixed_rank4,1,proposal_std_delta_rms,4,0.0,0.0,0.0
reach-wall,fixed_rank4,1,best_runnerup_margin_delta,4,0.0001246333122253418,-0.00022804737091064453,0.0004773139953613281
reach-wall,fixed_rank4,1,elite_boundary_margin_delta,4,0.00038552284240722656,-0.0006633996963500977,0.001844167709350586
reach-wall,fixed_rank4,2,proposal_entropy_delta_nats,4,-1.373895983647344e-07,-4.1216879509420323e-07,0.0
reach-wall,fixed_rank4,2,proposal_mean_delta_l2,4,9.990476421069324e-08,0.0,2.9971429263207974e-07
reach-wall,fixed_rank4,2,proposal_mean_delta_rms,4,9.120015493405248e-09,0.0,2.7360046480215744e-08
reach-wall,fixed_rank4,2,proposal_std_delta_l2,4,1.2242553178336458e-07,0.0,3.672765953500937e-07
reach-wall,fixed_rank4,2,proposal_std_delta_rms,4,1.1175870895385742e-08,0.0,3.3527612686157227e-08
reach-wall,fixed_rank4,2,best_runnerup_margin_delta,4,0.0006649494171142578,0.0003113746643066406,0.0011013150215148926
reach-wall,fixed_rank4,2,elite_boundary_margin_delta,4,0.0007590353488922119,0.00039309263229370117,0.0012187063694000244
reach-wall,fixed_rank4,3,proposal_entropy_delta_nats,4,-5.170190178205303e-07,-1.0340380356410606e-06,0.0
reach-wall,fixed_rank4,3,proposal_mean_delta_l2,4,2.261781340681226e-07,0.0,4.523562681362452e-07
reach-wall,fixed_rank4,3,proposal_mean_delta_rms,4,2.0647144340589744e-08,0.0,4.129428868117949e-08
reach-wall,fixed_rank4,3,proposal_std_delta_l2,4,2.6637113485875483e-07,0.0,5.327422697175097e-07
reach-wall,fixed_rank4,3,proposal_std_delta_rms,4,2.431624653839845e-08,0.0,4.86324930767969e-08
reach-wall,fixed_rank4,3,best_runnerup_margin_delta,4,-0.00014916062355041504,-0.00047218799591064453,0.00022658705711364746
reach-wall,fixed_rank4,3,elite_boundary_margin_delta,4,-0.00026735663414001465,-0.0007363259792327881,0.0001996159553527832
reach-wall,fixed_rank4,4,proposal_entropy_delta_nats,4,-3.642487129695837e-07,-1.302908628986188e-06,5.744112030470205e-07
reach-wall,fixed_rank4,4,proposal_mean_delta_l2,4,5.161843180283751e-07,1.5808154817567543e-07,7.961135888390929e-07
reach-wall,fixed_rank4,4,proposal_mean_delta_rms,4,4.712096580242694e-08,1.4430804976859513e-08,7.267489515726072e-08
reach-wall,fixed_rank4,4,proposal_std_delta_l2,4,4.943175305097579e-07,1.5467807272096496e-07,7.186682949324795e-07
reach-wall,fixed_rank4,4,proposal_std_delta_rms,4,4.51248103384071e-08,1.4120111596782832e-08,6.560513941638246e-08
reach-wall,fixed_rank4,4,best_runnerup_margin_delta,4,-0.00043976306915283203,-0.0009938478469848633,0.00011432170867919922
reach-wall,fixed_rank4,4,elite_boundary_margin_delta,4,-0.00032189488410949707,-0.0016738474369049072,0.0009819269180297852
reach-wall,fixed_rank4,5,proposal_entropy_delta_nats,4,-9.009504680079772e-07,-1.9399755757376624e-06,1.3807463972170808e-07
reach-wall,fixed_rank4,5,proposal_mean_delta_l2,4,7.812531145506015e-07,2.7630042991501446e-07,1.1688634184433608e-06
