task,bank,modality,metric,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_95_low,simultaneous_95_high
reach-wall,original,official,excess_spearman_loss,3,8,8,-0.0002652251691685342,-0.00037111523461370866,-0.00014116823520260446,-0.0022335831509238875,0.001703132812586819
reach-wall,original,official,excess_spearman_loss,4,8,8,0.00840842676029735,0.00651646129401437,0.010473248313870183,0.006440068778541997,0.010376784742052702
reach-wall,original,official,excess_spearman_loss,5,8,8,-0.0003578373093034437,-0.0004173379704219271,-0.00029672551917243883,-0.002326195291058797,0.0016105206724519095
reach-wall,original,official,excess_top10_overlap_loss,0,8,8,0.0125,0.0,0.037500000000000006,-0.0625,0.0875
reach-wall,original,official,excess_top10_overlap_loss,1,8,8,0.1,0.037500000000000006,0.17500000000000002,0.02500000000000001,0.175
reach-wall,original,official,excess_top10_overlap_loss,2,8,8,0.0625,0.025,0.09999999999999999,-0.012499999999999997,0.1375
reach-wall,original,official,excess_top10_overlap_loss,3,8,8,0.0125,-0.025000000000000005,0.05,-0.0625,0.0875
reach-wall,original,official,excess_top10_overlap_loss,4,8,8,0.1125,0.0625,0.16250000000000003,0.037500000000000006,0.1875
reach-wall,original,official,excess_top10_overlap_loss,5,8,8,-0.025,-0.0625,0.0,-0.1,0.049999999999999996
reach-wall,fresh,visual,excess_spearman_loss,0,8,8,0.0009924832618974921,0.0008362593038535177,0.001165808093218412,-0.0005963540013617513,0.0025813205251567356
reach-wall,fresh,visual,excess_spearman_loss,1,8,8,0.008338453898115855,0.007367137412637906,0.009240602948400081,0.006749616634856612,0.009927291161375099
reach-wall,fresh,visual,excess_spearman_loss,2,8,8,0.0021685935651980792,0.0018603578480583915,0.0024416702357640146,0.0005797563019388358,0.0037574308284573227
reach-wall,fresh,visual,excess_spearman_loss,3,8,8,-0.00021922466192840495,-0.0002641696135143451,-0.0001715019055767708,-0.0018080619251876484,0.0013696126013308385
reach-wall,fresh,visual,excess_spearman_loss,4,8,8,0.007718433095186147,0.00612237497083302,0.00925888093189621,0.006129595831926904,0.00930727035844539
reach-wall,fresh,visual,excess_spearman_loss,5,8,8,-0.00034958722141670284,-0.00043947780343976293,-0.00028364134989041336,-0.0019384244846759463,0.0012392500418425406
reach-wall,fresh,visual,excess_top10_overlap_loss,0,8,8,0.037500000000000006,-0.025,0.1,-0.0625,0.1375
reach-wall,fresh,visual,excess_top10_overlap_loss,1,8,8,0.15000000000000002,0.075,0.225,0.05000000000000002,0.25
reach-wall,fresh,visual,excess_top10_overlap_loss,2,8,8,0.075,0.037500000000000006,0.125,-0.02500000000000001,0.175
reach-wall,fresh,visual,excess_top10_overlap_loss,3,8,8,-0.0125,-0.0625,0.0625,-0.1125,0.08750000000000001
reach-wall,fresh,visual,excess_top10_overlap_loss,4,8,8,0.1125,0.024999999999999994,0.20000000000000004,0.012499999999999997,0.21250000000000002
reach-wall,fresh,visual,excess_top10_overlap_loss,5,8,8,0.0125,-0.025,0.05,-0.08750000000000001,0.1125
reach-wall,fresh,proprio,excess_spearman_loss,0,8,8,0.0005273947488305258,0.00042111301236681003,0.0006401765575172942,-0.0011562350692785467,0.0022110245669395984
reach-wall,fresh,proprio,excess_spearman_loss,1,8,8,0.005964732941477119,0.005466727408082281,0.006414917110190079,0.004281103123368046,0.007648362759586191
reach-wall,fresh,proprio,excess_spearman_loss,2,8,8,0.0015717396859965121,0.001366126290292119,0.001785186502072253,-0.00011189013211256038,0.0032553695041055847
reach-wall,fresh,proprio,excess_spearman_loss,3,8,8,-0.00025611395682172133,-0.00031711463460702694,-0.00019383409815660244,-0.0019397437749307939,0.0014275158612873512
reach-wall,fresh,proprio,excess_spearman_loss,4,8,8,0.010290739532003879,0.008545664586726717,0.011913868677883258,0.008607109713894806,0.011974369350112951
reach-wall,fresh,proprio,excess_spearman_loss,5,8,8,-0.0003712263469594079,-0.0004438424315825501,-0.00031328125868068657,-0.0020548561650684805,0.0013124034711496646
reach-wall,fresh,proprio,excess_top10_overlap_loss,0,8,8,0.0125,-0.037500000000000006,0.0625,-0.05,0.075
reach-wall,fresh,proprio,excess_top10_overlap_loss,1,8,8,0.05,0.0,0.08781249999997272,-0.012499999999999997,0.1125
reach-wall,fresh,proprio,excess_top10_overlap_loss,2,8,8,0.0,-0.05,0.05,-0.0625,0.0625
reach-wall,fresh,proprio,excess_top10_overlap_loss,3,8,8,0.0125,-0.025,0.05,-0.05,0.075
reach-wall,fresh,proprio,excess_top10_overlap_loss,4,8,8,0.0625,0.0125,0.11250000000000002,0.0,0.125
reach-wall,fresh,proprio,excess_top10_overlap_loss,5,8,8,0.0,-0.037500000000000006,0.037500000000000006,-0.0625,0.0625
reach-wall,fresh,official,excess_spearman_loss,0,8,8,0.000910510116779048,0.0007547861642907272,0.001074456382848643,-0.0006253402815587273,0.002446360515116823
reach-wall,fresh,official,excess_spearman_loss,1,8,8,0.007996866631851451,0.007099134434827042,0.008838909321214677,0.006461016233513676,0.009532717030189227
reach-wall,fresh,official,excess_spearman_loss,2,8,8,0.002133023700263359,0.0018412426804742532,0.0024124712496805534,0.0005971733019255836,0.003668874098601134
reach-wall,fresh,official,excess_spearman_loss,3,8,8,-0.0002645029389215653,-0.00033389398771099463,-0.00018672429693665504,-0.0018003533372593407,0.00127134745941621
reach-wall,fresh,official,excess_spearman_loss,4,8,8,0.007819197991088794,0.006235124834720399,0.00932177024189157,0.006283347592751019,0.00935504838942657
reach-wall,fresh,official,excess_spearman_loss,5,8,8,-0.0003446149401659937,-0.0004362826253624663,-0.0002841698241091567,-0.001880465338503769,0.0011912354581717817
reach-wall,fresh,official,excess_top10_overlap_loss,0,8,8,0.025000000000000005,-0.025,0.075,-0.04999999999999999,0.1
reach-wall,fresh,official,excess_top10_overlap_loss,1,8,8,0.11249999999999999,0.037500000000000006,0.16250000000000003,0.03749999999999999,0.1875
