source_id,task,category,precision,candidate,control,endpoint,error_reduction_percent_of_native,simultaneous_95_lower,simultaneous_95_upper,statistical_result,beats_control_by_frozen_minimum,independent_lineages,source,source_sha256
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,action_condition_only,visual_mse_h6,0.43403928509501266,0.06838357993893653,0.7996949902510889,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,action_condition_only,proprio_mse_h6,1.5105748244590653,0.7655214017178081,2.255628247200322,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,matched_random_equal_standardized_energy,visual_mse_h6,0.6464417049274205,0.27231031894181645,1.0205730909130244,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,matched_random_equal_standardized_energy,proprio_mse_h6,3.6997287629076867,2.6567038425346707,4.742753683280704,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,zero_dose,native,visual_mse_h6,-0.0,-0.0,-0.0,identity,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,zero_dose,native,proprio_mse_h6,-0.0,-0.0,-0.0,identity,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,visual_only,native,visual_mse_h6,0.5819500553740994,0.06633046744863426,1.0975696432995643,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,visual_only,native,proprio_mse_h6,2.342025099131893,1.2845044956028724,3.399545702660913,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,action_condition_only,native,visual_mse_h6,0.016561583462018855,-0.014918034393825007,0.04804120131786272,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,action_condition_only,native,proprio_mse_h6,0.5806926002557183,0.39802167469538147,0.7633635258160552,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,native,visual_mse_h6,0.6029392244218427,0.08929896582552327,1.116579483018162,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint,native,proprio_mse_h6,2.910514761733066,1.8327097047218353,3.988319818744297,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,native,visual_mse_h6,0.4506008685570315,0.08716331678863476,0.8140384203254284,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
