kind,task,metric,modality,horizon,bfloat16_mean,float32_mean,sign_agreement,pearson,spearman,n,arm
geometry,wall,recorded_visual_mse_h6,,,0.03487448037534099,0.03651563657959658,1.0,0.994488671608832,0.9984045655535362,192,cubic
geometry,wall,omitted_activation_mse,,,0.0002621931361159802,1.0931706977295108e-06,1.0,0.38613644178453643,0.3943079781895126,192,equal_anchor_linear
geometry,wall,recorded_proprio_mse_h6,,,4.748127486198575e-05,4.70402073630172e-05,1.0,0.9998231959025965,0.9990488430133198,192,equal_anchor_linear
geometry,wall,recorded_visual_mse_h6,,,0.03488822831489167,0.03651597098823087,1.0,0.9944680903314517,0.9984113474215338,192,equal_anchor_linear
geometry,wall,omitted_activation_mse,,,0.0003330861933157146,2.621959815804907e-06,1.0,0.42044943881285657,0.42323094973279446,192,projected_cubic
geometry,wall,recorded_proprio_mse_h6,,,4.7479086872667416e-05,4.704022258434981e-05,1.0,0.9998232537752747,0.9990556248813174,192,projected_cubic
geometry,wall,recorded_visual_mse_h6,,,0.034873589528312245,0.036517378887572595,1.0,0.9944376707013947,0.9983655698125493,192,projected_cubic
geometry,wall,omitted_activation_mse,,,0.0010287561857501603,1.0454322129948785e-05,1.0,0.43563837858879007,0.44774062067655923,192,reflected_curvature
geometry,wall,recorded_proprio_mse_h6,,,4.7480740006647295e-05,4.704022221239146e-05,1.0,0.9998241124899861,0.9990624067493151,192,reflected_curvature
geometry,wall,recorded_visual_mse_h6,,,0.03487903534082624,0.03651738495880801,1.0,0.9943629129415494,0.9983452242085561,192,reflected_curvature
