cohort,task,episode,metric,learned,random,effect
extension56,reach,15,selected_prefix_rms_learned_minus_random,0.5610684962560937,0.5163895792957597,0.04467891696033399
extension56,reach,15,mean_proposal_mean_rms_learned_minus_random,0.1908446147358086,0.21186741379943436,-0.021022799063625752
extension56,reach,15,mean_proposal_entropy_delta_learned_minus_random,0.4286276138466724,0.40273341403368723,0.025894199812985186
extension56,reach,16,selected_prefix_rms_learned_minus_random,4.162679230426303e-07,0.9160640613222591,-0.9160636450543361
extension56,reach,16,mean_proposal_mean_rms_learned_minus_random,1.4657715505747326e-07,0.349050278082938,-0.3490501315057829
extension56,reach,16,mean_proposal_entropy_delta_learned_minus_random,6.261463044647068e-07,3.2315778295004507,-3.231577203354146
extension56,reach,17,selected_prefix_rms_learned_minus_random,0.7887091713790749,0.7211368722933059,0.067572299085769
extension56,reach,17,mean_proposal_mean_rms_learned_minus_random,0.33992848063240166,0.252250803519799,0.08767767711260266
extension56,reach,17,mean_proposal_entropy_delta_learned_minus_random,-0.42812827837452616,-0.9925033377865691,0.5643750594120429
extension56,reach,18,selected_prefix_rms_learned_minus_random,0.914920280949089,0.9409123408918934,-0.025992059942804402
extension56,reach,18,mean_proposal_mean_rms_learned_minus_random,0.5565504155648683,0.5587105250403733,-0.0021601094755050454
extension56,reach,18,mean_proposal_entropy_delta_learned_minus_random,-1.956509831449865,-2.5926122442742394,0.6361024128243744
extension56,reach,19,selected_prefix_rms_learned_minus_random,0.8295860851905577,0.9602336804525567,-0.1306475952619991
extension56,reach,19,mean_proposal_mean_rms_learned_minus_random,0.3671559916033488,0.3741440272166739,-0.0069880356133251165
extension56,reach,19,mean_proposal_entropy_delta_learned_minus_random,-1.524222862707571,0.7851628817243049,-2.309385744431876
extension56,reach,20,selected_prefix_rms_learned_minus_random,1.7022072713145433,1.7022071954063203,7.590822304059941e-08
extension56,reach,20,mean_proposal_mean_rms_learned_minus_random,0.7305130463248763,0.7305130221269895,2.4197886805410462e-08
extension56,reach,20,mean_proposal_entropy_delta_learned_minus_random,-1.9630715722286547,-1.963073563995386,1.991766731324063e-06
extension56,reach,21,selected_prefix_rms_learned_minus_random,1.0699867644437477,3.4814578938603244e-07,1.0699864162979584
extension56,reach,21,mean_proposal_mean_rms_learned_minus_random,0.30163374348380906,2.7855578904815463e-08,0.30163371562823016
extension56,reach,21,mean_proposal_entropy_delta_learned_minus_random,-4.570529003749065,3.74626228942058e-07,-4.570529378375293
extension56,reach,22,selected_prefix_rms_learned_minus_random,0.8504835762825533,0.9583971371066689,-0.10791356082411552
extension56,reach,22,mean_proposal_mean_rms_learned_minus_random,0.37414003350571134,0.37707365278829363,-0.0029336192825822893
extension56,reach,22,mean_proposal_entropy_delta_learned_minus_random,2.2651433615852876,3.070875527382709,-0.8057321657974215
extension56,reach,23,selected_prefix_rms_learned_minus_random,0.4643589814899038,0.4261325755809856,0.03822640590891818
extension56,reach,23,mean_proposal_mean_rms_learned_minus_random,0.14308280718389824,0.13473018494220748,0.008352622241690755
extension56,reach,23,mean_proposal_entropy_delta_learned_minus_random,1.2406376754587936,-0.2426664390396757,1.4833041144984693
extension56,reach,24,selected_prefix_rms_learned_minus_random,0.23641421767446721,0.25716242193233074,-0.02074820425786353
extension56,reach,24,mean_proposal_mean_rms_learned_minus_random,0.048040147150992425,0.05121622680592411,-0.0031760796549316836
extension56,reach,24,mean_proposal_entropy_delta_learned_minus_random,-1.4238561379580152,-1.3692593156808728,-0.054596822277142465
