source_id,task,precision,control,intervention,metric,control_mean,intervention_mean,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h2,0.01140437523721809,0.01140437523721809,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h3,0.020116134481485474,0.020130196938650934,-1.4062457165459098e-05,-1.65918548844301e-05,-1.1539184233220116e-05,200,-0.06986280579686348,-0.08254521870599818,-0.05729499616931939
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h4,0.028109988940600114,0.02811679696146071,-6.808020860590656e-06,-1.0569191015837328e-05,-2.8964844846013275e-06,200,-0.024215746087912746,-0.03744636458625275,-0.010435736973517138
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h5,0.03628473910513586,0.03629151023433879,-6.771129202937324e-06,-1.321179418753982e-05,-4.088677292723897e-07,200,-0.018661156425567364,-0.0364136513439267,-0.0011063619203107004
S40,pointmaze,bfloat16,projected_cubic,cubic,recorded_visual_mse_h6,0.04299448750106824,0.04300857516266138,-1.4087661593144891e-05,-2.4235160491519062e-05,-4.177515555295125e-06,200,-0.03276001083467333,-0.05622514191332219,-0.009753111672485024
S40,pointmaze,bfloat16,projected_cubic,cubic,raw_native_visual_fidelity_mse_h3,3.088122214052657e-05,3.0263572331679203e-05,6.17649808847374e-07,5.434043841291223e-07,6.92750960869578e-07,200,2.0000821406508043,1.7630271480926571,2.239624638010087
S40,pointmaze,bfloat16,projected_cubic,cubic,delivered_native_visual_fidelity_mse_h3,2.9794732202569073e-05,2.891647332862554e-05,8.78258873943524e-07,8.184556722303346e-07,9.39587325783801e-07,200,2.947698499091713,2.75212398100632,3.147877375565732
S40,pointmaze,bfloat16,projected_cubic,cubic,raw_native_visual_fidelity_mse_h6,7.068879317348994e-05,6.848996100356477e-05,2.198832169925168e-06,-7.12261032017672e-07,5.344531125294942e-06,200,3.110581000482811,-1.025346203992208,7.312436732409452
S40,pointmaze,bfloat16,projected_cubic,cubic,delivered_native_visual_fidelity_mse_h6,6.640238276177713e-05,6.400782239705252e-05,2.394560364724593e-06,-4.0410525101103013e-07,5.17452861437818e-06,200,3.6061362034480515,-0.607988082071728,7.581354676498815
S40,pointmaze,bfloat16,reflected_curvature,cubic,omitted_activation_mse,0.013319886030827755,0.004798835878161194,0.00852105015266656,0.008466385067506887,0.008575386393036634,200,63.97239535642653,63.873689449794746,64.06962252234676
