task,contrast,bank,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_72_primary_95_low,simultaneous_72_primary_95_high,family_complete,family_quantile,critical_absolute_deviation
reach-wall,persistence_minus_h3,fresh,0,donor_reconstruction,8,8,0.11739730668872439,0.10976851607822102,0.12356116443492056,0.10602593583751106,0.1287686775399377,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,fresh,1,donor_reconstruction,8,8,0.50376531157630144,0.49618639125577158,0.51227241246459554,0.49239394072508813,0.51513668242751476,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,fresh,2,donor_reconstruction,8,8,0.075110519823029853,0.07214502180235606,0.078132839976564242,0.063739148971816526,0.086481890674243181,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,fresh,3,donor_reconstruction,8,8,0.028794688727005399,0.027934257589902339,0.029586518644013723,0.017423317875792071,0.040166059578218727,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,fresh,4,donor_reconstruction,8,8,0.0047900522089968645,0.0044146936223780492,0.0051530193560743315,-0.0065813186422164615,0.016161423060210192,True,0.9916666666666667,0.011371370851213326
reach-wall,persistence_minus_h3,fresh,5,donor_reconstruction,8,8,-0.00011651969371145876,-0.00014831188019366615,-8.3442393836632989e-05,-0.011487890544924785,0.011254851157501867,True,0.9916666666666667,0.011371370851213326
reach-wall,h3_donor_minus_range_random,original,0,donor_reconstruction,8,8,0.077420483925746519,0.073861582264572095,0.081477703383811009,0.054990284726861349,0.099850683124631689,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,original,1,donor_reconstruction,8,8,0.24291713489333339,0.23819953562612722,0.2476169673740185,0.22048693569444822,0.26534733409221856,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,original,2,donor_reconstruction,8,8,0.095753361072810114,0.089579922952774532,0.10260954111412746,0.073323161873924944,0.11818356027169528,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,original,3,donor_reconstruction,8,8,0.0055963182305277942,0.0026083824116367726,0.0087543960124377429,-0.016833880968357376,0.028026517429412964,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,original,4,donor_reconstruction,8,8,0.13777028634314586,0.13046499753513191,0.14521396078056836,0.11534008714426069,0.16020048554203103,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,original,5,donor_reconstruction,8,8,0.013552843029581943,0.011978270957472628,0.014980777360411229,-0.0088773561693032271,0.035983042228467113,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,0,donor_reconstruction,8,8,0.079582781930771992,0.075053320397983084,0.084267424765742713,0.057152582731886822,0.10201298112965716,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,1,donor_reconstruction,8,8,0.24228181369919055,0.23780991554924102,0.24624619192915273,0.21985161450030538,0.26471201289807572,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,2,donor_reconstruction,8,8,0.096919361602804968,0.090173517098891612,0.10341783399984708,0.074489162403919798,0.11934956080169014,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,3,donor_reconstruction,8,8,0.012215378426636753,0.009654656636600395,0.015000240931669805,-0.010214820772248417,0.034645577625521923,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,4,donor_reconstruction,8,8,0.13740511559290738,0.1210097110563769,0.15468106556861255,0.11497491639402221,0.15983531479179255,True,0.9916666666666667,0.02243019919888517
reach-wall,h3_donor_minus_range_random,fresh,5,donor_reconstruction,8,8,0.013769804210831127,0.01282281258619776,0.014753729618023029,-0.0086603949880540432,0.036200003409716297,True,0.9916666666666667,0.02243019919888517
reach-wall,range_minus_offrange_rank_loss,original,0,spearman_loss,8,8,0.00036950410560114555,0.00034644829386991371,0.00039422660251775543,-0.00028878098645546135,0.0010277891976577525,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,original,1,spearman_loss,8,8,0.0023041922688029487,0.0020833564817386435,0.0025500880565339106,0.0016459071767463418,0.0029624773608595556,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,original,2,spearman_loss,8,8,0.00065245169390770741,0.00054711163457374509,0.00075334448160534792,-5.8333981488994935e-06,0.0013107367859643143,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,original,3,spearman_loss,8,8,-0.00012294581050902031,-0.00021178013089034886,-3.1494794386606253e-05,-0.00078123090256562722,0.00053533928154758659,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,original,4,spearman_loss,8,8,0.0022283442366747702,0.0017213524594717478,0.0027261969577439954,0.0015700591446181633,0.0028866293287313771,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,original,5,spearman_loss,8,8,-0.00031267014077937527,-0.00038072645251616133,-0.00024583606484521181,-0.00097095523283598217,0.00034561495127723163,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,0,spearman_loss,8,8,0.00042644919338002962,0.00033637873378758454,0.00052341243870442263,-0.00023183589867657728,0.0010847342854366365,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,1,spearman_loss,8,8,0.0024509716774630819,0.0021251347237191548,0.0028110312336803722,0.001792686585406475,0.0031092567695196888,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,2,spearman_loss,8,8,0.00095839953777264453,0.00080150890565451605,0.0010950677229746991,0.00030011444571603763,0.0016166846298292514,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,3,spearman_loss,8,8,-5.144501605572338e-05,-0.00011672490805448854,1.2166801853355502e-05,-0.00070973010811233028,0.00060684007600088352,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,4,spearman_loss,8,8,0.0020698424201369831,0.0017176162842910264,0.0023816375737508166,0.0014115573280803762,0.00272812751219359,True,0.9916666666666667,0.0006582850920566069
reach-wall,range_minus_offrange_rank_loss,fresh,5,spearman_loss,8,8,-0.00032476749496519741,-0.00037824482042729811,-0.00026837797952615483,-0.00098305258702180431,0.00033351759709140949,True,0.9916666666666667,0.0006582850920566069
